City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
358,Puerto Leguizamo,CO,82.18,overcast clouds,-0.1934,-74.7819,la casona de juancho
359,Jingdezhen,CN,75.99,light rain,29.2947,117.2079,Garden Hotel
361,Chaman,PK,80.42,clear sky,30.9236,66.4512,Niamat parda Center chaman
364,Baculin,PH,77.63,moderate rain,7.4525,126.5842,Shovy's Cove
369,Mattru,SL,76.01,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
371,Shache,CN,78.91,light rain,38.4167,77.2406,Delong Hotel
373,Lakatoro,VU,75.16,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
375,San Felipe,VE,82.26,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
377,Cascioarele,RO,77.4,clear sky,44.1261,26.4697,Fabrica uscar lucerna
378,Port Blair,IN,82.02,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
381,Galle,LK,78.87,overcast clouds,6.0367,80.217,Amangalla
382,Pirgos,GR,82.47,clear sky,35.1167,25.7178,Daios Cove
387,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
393,Hondo,JP,80.87,overcast clouds,32.45,130.2,ホテル河丁
396,Kieta,PG,75.78,light rain,-6.2167,155.6333,Uruna Bay Retreat
404,Mormugao,IN,78.76,scattered clouds,15.4,73.8,Coconut Creek Resort
406,Jiaocheng,CN,79.27,broken clouds,24.6774,116.1389,Changtan Tourism Resort
407,Camocim,BR,86.14,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
409,Shimoda,JP,78.08,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
411,Surin,TH,78.17,overcast clouds,14.8818,103.4936,One Fu Hotel
412,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
413,Hami,CN,79.86,clear sky,42.8,93.45,Laoyutang Resort
414,Kavieng,PG,81.27,moderate rain,-2.5744,150.7967,Nusa Island Retreat
418,Keelung,TW,79.52,broken clouds,25.1283,121.7419,East Coast Star Boutique Hotel
422,Japura,ID,76.71,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
426,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
428,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
434,Jaggayyapeta,IN,85.59,broken clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
439,Lompoc,US,83.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
440,Hamilton,US,89.85,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
441,Kijang,KR,78.12,overcast clouds,35.2442,129.2139,Samyang Beach Villa
444,Auki,SB,76.48,overcast clouds,-8.7676,160.7034,Auki Motel
445,Srandakan,ID,75.47,broken clouds,-7.9386,110.2506,Puri Brata
446,Tucupita,VE,84.65,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
450,Monywa,MM,79.2,broken clouds,22.1167,95.1333,Monywa Hotel
452,Aksu,CN,76.33,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
453,Weligama,LK,77.83,overcast clouds,5.9667,80.4167,Weligama Bay Resort
461,Alugan,PH,78.35,overcast clouds,12.2188,125.4808,JM Lodge
464,Guerrero Negro,MX,82.02,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
465,Kalmunai,LK,79.16,overcast clouds,7.4167,81.8167,VS Villa
466,Keti Bandar,PK,81.25,overcast clouds,24.1447,67.4497,Haji laloo memon house
467,Acarau,BR,82.63,overcast clouds,-2.8856,-40.12,castelo pizzaria
468,Pajapan,MX,86.16,overcast clouds,18.25,-94.7,Hotel Del Carmen
471,Wadi Musa,JO,76.1,clear sky,30.3222,35.4793,Petra Palace Hotel
486,Beloeil,CA,85.84,overcast clouds,45.5668,-73.1992,Manoir Rouville Campbell
493,Mikuni,JP,79.3,clear sky,36.2171,136.1519,Haiya
496,Columbus,US,89.82,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
497,Tabou,CI,77.25,overcast clouds,4.423,-7.3528,hotêl doufoulougou
500,Beaufort,MY,77.07,moderate rain,5.3473,115.7455,The Gem Hotel Beaufort
501,Vung Tau,VN,80.19,overcast clouds,10.346,107.0843,Green hotel
503,Samarskoye,RU,88.61,overcast clouds,46.9336,39.6814,Хостел ТЕСЛА
507,Sarangani,PH,79.07,heavy intensity rain,5.4033,125.4636,Ballistic Islet
512,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
514,Aquiraz,BR,84.29,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
517,North Bend,US,86.94,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
518,Sibolga,ID,76.44,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
520,Kanniyakumari,IN,78.84,overcast clouds,8.0833,77.5667,Sparsa
523,Natal,BR,81.25,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
524,Saraza,PH,79.52,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
534,Nicosia,CY,84.29,scattered clouds,35.1667,33.3667,The Landmark Nicosia
538,Pierre,US,88.72,clear sky,44.3683,-100.351,Ramkota Hotel
544,Seka,TH,77.74,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
545,Tigre,AR,80.26,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
546,Corinth,GR,83.62,clear sky,37.9407,22.9573,Ephira Hotel
548,Bontang,ID,79.02,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
550,Havelock,US,80.83,overcast clouds,34.8791,-76.9013,Sherwood Motel
551,Jaffna,LK,83.01,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
554,Caltagirone,IT,79.84,clear sky,37.2368,14.5126,Hotel NH Caltagirone Villa San Mauro
555,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
556,Santa Maria,BR,76.59,clear sky,-29.6842,-53.8069,Hotel Morotin
557,Banda Aceh,ID,79.63,light rain,5.5577,95.3222,Sulthan Hotel International
558,Pacific Grove,US,86.81,few clouds,36.6177,-121.9166,Lovers Point Inn
559,Luganville,VU,76.15,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
561,Nicoya,CR,80.15,overcast clouds,10.1483,-85.452,Guayacan Real
562,Seguela,CI,78.17,broken clouds,7.9611,-6.6731,Hotel le Carrefour
564,North Myrtle Beach,US,84.49,few clouds,33.816,-78.68,Avista Resort
