City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
197,Denpasar,-8.65,115.2167,80.26,89,40,9.22,ID,scattered clouds
198,Pimentel,-6.8367,-79.9342,71.89,77,40,3.0,PE,scattered clouds
199,Okhotsk,59.3833,143.3,59.05,61,5,7.34,RU,clear sky
200,Morant Bay,17.8815,-76.4093,85.66,66,0,11.16,JM,clear sky
201,Turkan,40.3639,50.215,77.18,83,0,4.61,AZ,clear sky
202,San Quintin,30.4833,-115.95,73.89,66,4,10.63,MX,clear sky
203,Sirjan,29.452,55.6814,84.18,23,96,1.81,IR,overcast clouds
204,Storm Lake,42.6411,-95.2097,83.35,83,1,9.22,US,clear sky
205,Inyonga,-6.7167,32.0667,75.4,34,88,4.18,TZ,overcast clouds
206,Makat,47.6469,53.3463,83.03,32,0,12.86,KZ,clear sky
207,Verkhnyaya Inta,65.9811,60.3094,52.12,95,100,6.02,RU,overcast clouds
208,Nivala,63.9167,24.9667,61.68,58,50,10.31,FI,scattered clouds
209,Mount Pleasant,32.7941,-79.8626,81.0,89,1,3.0,US,clear sky
210,Dingle,10.9995,122.6711,76.93,92,89,5.23,PH,overcast clouds
211,Normandin,48.8333,-72.5321,71.8,35,14,8.21,CA,few clouds
212,Cervo,43.6702,-7.4101,63.97,78,4,10.25,ES,clear sky
213,Saint George,37.1041,-113.5841,97.63,11,1,1.99,US,haze
214,Port Keats,-14.25,129.55,60.85,32,17,5.86,AU,few clouds
215,Sivaki,52.6333,126.75,54.93,98,100,10.13,RU,overcast clouds
216,Elbistan,38.2059,37.1983,69.48,50,2,5.08,TR,clear sky
217,Severo-Kurilsk,50.6789,156.125,53.76,78,96,7.72,RU,overcast clouds
218,Evensk,61.95,159.2333,56.73,76,7,8.61,RU,clear sky
219,Amqui,48.4638,-67.4313,68.95,93,99,8.16,CA,overcast clouds
220,Kresttsy,58.2452,32.5165,62.11,96,48,3.24,RU,scattered clouds
221,Puerto Carreno,6.189,-67.4859,85.48,56,48,4.61,CO,scattered clouds
222,Almaznyy,48.0448,40.045,86.14,25,100,14.56,RU,overcast clouds
223,Vestmannaeyjar,63.4427,-20.2734,55.4,89,100,11.92,IS,overcast clouds
224,Raha,26.2333,92.5167,78.3,94,100,4.0,IN,overcast clouds
225,Gushikawa,26.3544,127.8686,78.39,94,90,21.85,JP,heavy intensity rain
226,Challans,46.8436,-1.8749,62.51,74,78,15.39,FR,broken clouds
227,Mahajanga,-15.7167,46.3167,73.42,78,20,5.75,MG,few clouds
228,Todos Santos,23.45,-110.2167,92.3,73,60,11.65,MX,broken clouds
229,Marsa Matruh,31.3525,27.2453,80.08,83,0,10.38,EG,clear sky
230,Timizart,36.8,4.2667,78.01,53,29,2.15,DZ,scattered clouds
231,Shelopugino,51.6514,117.5599,57.51,94,49,5.59,RU,scattered clouds
232,Lamu,-2.2717,40.902,73.62,83,17,14.58,KE,few clouds
233,Kuli,42.0185,47.2434,64.74,56,0,10.04,RU,clear sky
234,Seoul,37.5683,126.9778,76.44,75,87,2.53,KR,overcast clouds
235,Vila Velha,-20.3297,-40.2925,67.95,88,40,2.3,BR,scattered clouds
236,Torbay,47.6666,-52.7314,75.58,72,91,5.99,CA,overcast clouds
237,Kutum,14.2,24.6667,76.86,59,88,12.26,SD,overcast clouds
238,Port Lincoln,-34.7333,135.8667,51.3,78,0,10.49,AU,clear sky
239,Poum,-20.2333,164.0167,69.51,71,99,9.13,NC,overcast clouds
240,Vyartsilya,62.1764,30.693,57.97,94,100,13.2,RU,moderate rain
241,Tautira,-17.7333,-149.15,84.22,78,35,8.12,PF,scattered clouds
242,Sao Joao Da Barra,-21.6403,-41.0511,71.69,70,100,13.24,BR,overcast clouds
243,Formosa,-26.1775,-58.1781,89.58,31,5,13.8,AR,clear sky
244,Padang,-0.9492,100.3543,77.45,89,26,4.16,ID,scattered clouds
245,Sainte-Maxime,43.3,6.6333,77.76,73,95,6.87,FR,overcast clouds
246,Brae,60.3964,-1.353,58.91,91,100,17.81,GB,overcast clouds
247,Makakilo City,21.3469,-158.0858,82.72,59,75,10.36,US,broken clouds
248,Palu,-0.8917,119.8707,76.14,93,100,3.53,ID,overcast clouds
249,Matara,5.9485,80.5353,77.63,88,100,13.4,LK,overcast clouds
250,Takoradi,4.8845,-1.7554,76.15,86,52,11.23,GH,broken clouds
251,Humaita,-7.5061,-63.0208,100.89,17,0,1.1,BR,clear sky
252,Friedland,51.4167,9.9333,64.65,89,100,7.74,DE,light rain
253,Meridian,43.6121,-116.3915,91.17,31,1,1.01,US,clear sky
254,Smithers,54.7804,-127.1743,66.2,44,99,7.0,CA,overcast clouds
255,Wewak,-3.5534,143.6268,76.37,89,98,4.61,PG,overcast clouds
256,Khvoynaya,58.9,34.5333,62.62,99,100,7.74,RU,overcast clouds
257,Rawson,-43.3002,-65.1023,54.68,33,0,28.39,AR,clear sky
258,Thinadhoo,0.5333,72.9333,82.22,74,100,9.33,MV,overcast clouds
259,Lavrentiya,65.5833,-171.0,45.41,77,100,17.02,RU,overcast clouds
260,Zafra,38.4167,-6.4167,74.88,27,0,7.11,ES,clear sky
261,Komatipoort,-25.4332,31.9548,60.04,91,0,2.57,ZA,clear sky
262,Boa Vista,2.8197,-60.6733,76.98,78,90,6.91,BR,overcast clouds
263,Nsanje,-16.92,35.262,70.09,56,0,4.63,MW,clear sky
264,Huaihua,27.5494,109.9592,77.02,89,86,2.68,CN,overcast clouds
265,Hofn,64.2539,-15.2082,56.55,82,100,9.71,IS,light rain
